After running magCalSliders.py

bias = [280, -5, -120]
scale = [1.0, 1.0, 1.0]

MPU set up:
	Accelerometer: 0x0 16384.0
	Gyroscope: 0x0 131.0

MAG set up:
	Magnetometer: 0x16 1.499

Magnetometer calibration. Wave and rotate device in a figure eight until notified.

78,54,-54
76,42,-42
65,31,-52
60,24,-52
67,-27,-59
63,-59,-85
70,-54,-104
73,-73,-111
73,-75,-111
73,-91,-127
87,-95,-123
85,-109,-127
100,-120,-132
102,-136,-148
113,-135,-155
119,-153,-155
121,-153,-165
120,-150,-162
135,-161,-169
138,-164,-174
151,-159,-177
145,-168,-192
150,-168,-195
152,-164,-190
143,-161,-189
140,-162,-168
115,-155,-149
100,-144,-137
87,-115,-123
82,-106,-90
69,-73,-87
67,-75,-81
68,-60,-59
65,-43,-59
60,-36,-62
64,-44,-48
66,-12,-32
70,12,-54
68,44,-72
70,72,-104
66,76,-112
78,106,-122
92,122,-118
93,123,-141
93,111,-155
88,116,-156
86,100,-172
84,100,-180
90,88,-188
84,90,-176
92,94,-170
93,111,-155
92,108,-166
104,124,-122
106,126,-82
100,108,-66
83,101,-61
103,89,-33
93,79,-27
87,71,-37
90,58,-24
87,25,-5
87,27,-22
73,11,-29
62,0,-40
62,-26,-76
53,-29,-89
65,-33,-113
66,-36,-114
64,-56,-122
81,-75,-153
89,-93,-163
102,-100,-185
95,-111,-185
119,-115,-197
115,-109,-193
122,-126,-208
133,-129,-207
